0,0,0,2,1,0,0,0,0,2,1,0,0,0,8,0
0,0,0,0,0,2,9,0,0,0,0,0,0,2,5,0
0,8,0,0,0,0,4,0,0,0,2,9,0,0,0,0
0,6,1,0,0,8,0,0,0,0,0,4,0,0,0,8
0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,4
0,0,10,1,0,0,0,10,1,0,0,0,0,0,0,0
8,0,4,0,0,0,0,12,8,0,8,0,0,10,1,0
4,0,0,0,0,0,2,5,6,1,6,1,0,4,0,0
0,0,0,0,0,0,2,9,10,1,0,0,8,0,0,0
0,8,0,2,9,0,0,4,4,0,0,0,6,1,0,8
0,6,1,0,4,0,0,0,0,0,0,0,0,0,0,4
8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
4,0,0,0,0,0,8,0,2,5,0,0,0,0,0,0
0,0,0,0,0,2,5,0,0,0,0,0,0,2,9,0
0,0,10,1,0,0,0,0,0,0,0,10,1,0,4,0
0,0,4,2,1,0,0,0,0,0,0,4,0,0,0,0
